User_Id,username,Place_Id,Place_Ratings
1315,elizabethpeters577,179,3
3575,richardterry744,344,2
6253,tatyanamebane915,5,5
4311,ericthedford278,373,3
8394,marievelasco157,101,4
3675,michaelflynn147,312,2
623,latashatapper193,258,5
4718,5m6a4llw,20,4
6477,42moz4ko,154,2
6796,jameslucas453,393,5
9701,561zdg5k,103,3
8630,wilmaborg758,208,5
9093,margaritahopper100,89,3
8244,carlsmith546,405,5
4122,benjamincagle877,41,5
5775,jh7m8248,336,4
5025,stephaniehenry967,67,4
8304,9oe77gi7,292,3
1826,lynkalichman318,222,3
8724,1r4s4rqs,76,2
9528,ladhf8ao,428,3
4427,charlesmcgroarty458,15,3
7548,e2l9hqyy,246,4
1518,m11890hb,265,5
5858,jameswehrle805,21,2
5317,kevinjohnson28,328,2
8819,deloresschoemaker895,307,4
1066,carlospitts922,302,2
2725,michaelsvec252,48,2
9485,unkzv53j,328,2
8899,graceschoonmaker120,147,2
8706,thomasmatthews916,2,5
992,johnnorman758,322,4
3341,theowillis95,23,3
6134,ronaldblackburn754,85,4
1307,roybell850,371,3
5828,minnietorres285,78,5
3451,scarlettorr541,111,2
8856,9961yll9,107,2
9203,fsq1fael,185,2
2847,cathystarke728,413,3
3069,cecilligon439,389,2
5179,2d5is8e0,437,5
4150,charlesballard410,105,2
638,aprilphillips121,176,3
5998,wtgalwxq,407,5
1419,michaellawley372,208,5
9427,guadalupeventura340,437,4
2562,vanrock178,208,3
4943,elizabethnevills434,281,2
4106,shirleyfass90,167,2
3187,ks94a70p,384,5
175,jamiefearn656,426,4
6193,wondaporter259,390,2
4645,jennifernelson72,367,2
6781,brandonvegter586,166,2
2540,reathabarajas856,18,5
6515,peggykimberlin502,321,3
2895,lillieleary539,262,3
4773,frankclaypoole154,223,5
3996,t18glzp3,17,5
1792,dhisnqja,319,5
7986,elizabethlachance285,310,3
6846,9zbx1euw,421,3
3824,ellenpaulo858,202,5
2439,craigschumacher797,48,2
3692,sheilanguyen540,283,3
6254,jamesyeiser120,202,3
7322,williammadsen369,250,2
2479,brandonwilkerson962,118,2
6593,opaldodge859,54,2
5140,christopherrumsey135,70,3
7584,0sz9kaa9,33,4
683,stevecomee653,227,2
4958,harriettediaz156,86,4
8808,uwpr0y24,105,5
1358,kristykrewson920,249,3
1476,mju1dtfs,131,4
778,brettwenstrom685,382,2
7389,floyjohnson73,193,2
6555,barryvasques345,176,2
3512,5qfpstu7,104,3
440,curtisnelson939,24,4
3494,pamelaphanco496,128,5
9525,carlossmith173,134,3
3542,abrahamdaniels153,228,3
3867,ericmuraoka62,237,3
214,robertstevens558,100,4
2607,corneliacrook577,198,5
75,gregorioguerrant746,50,2
2834,bettybonilla741,376,2
6118,kirkrich403,268,4
604,stephensinegal472,242,4
1975,williebridgman987,82,3
258,jasonharris266,348,5
6482,albertwilloughby92,409,3
2281,brianmcafee440,88,3
7175,mayaroth75,4,4
8150,bennienelson800,377,3
3380,katherineruiz958,43,5
7726,helengonzalez923,15,4
2341,m16rkmx4,91,3
7414,josephinecrawford759,193,5
9168,lydiadibiase74,312,3
8913,brianburns53,44,2
7489,davidwhite148,14,5
8836,gertrudeshields983,406,3
9244,joycebrunet487,383,2
1849,zacharystein712,229,2
451,cynthiaromito946,290,3
6429,y103l4sj,5,5
5737,flossietillery971,294,5
2668,locdmw0q,309,5
4909,samuelwilkinson78,74,2
1156,phyllisgoad711,97,2
5823,williamkennedy721,421,4
6618,f20p0lpx,138,2
2536,geraldlucas11,436,5
9542,judithbray509,395,2
4953,jasonjuncaj568,300,4
2430,3j3zii14,321,3
1433,juliesweeney762,68,5
597,brigittetaylor194,55,5
692,kimramirez640,434,4
7357,williammorales171,9,5
616,mildredsasahara239,166,3
7544,jackdillon779,151,5
2651,anaward998,4,3
2286,j0yiiqub,61,3
